"Artikul","price","balance"
"0830-12",93,100
"2912-H8",194.832,100
"2330-060",860,100
"2957-095",286.344,100
"1882",286,100
"1116",21,100
"2916-120-08",54.8498,100
"10035-040",131.52800000000002,100
"10035-100",200.32600000000002,100
ЗКПМ-220-50-1.5,8905,100
OL-SK-4,411.80400000000003,100
"159551-0,9",127.264,100
"27262-25",436,100
"4-06305-18",11.89,100
"4-01014-020",13.3004,100
"4-01011-100",55.030199999999994,100
"4-300401-40-035",130.28979999999999,100
"03951-20",198,100
SV-54148-B,26.977999999999998,100
"4-300157-38-11",24.927999999999997,100
"11201-M",35,0
"29314-160-05_z01",63.878,100
"310226-080-120",21.812,100
"39723",337,100
"4-300397-50-120",22,100
"4-305011-18-032",98.236,100
"2948-235-32",731.03,100
"18096-18",186.38600000000002,100
"4-301060-10-100",216.89,100
"0315-10",73.718,100
SV-54130-A,42,100
SV-54430-B,42,100
"43087-1",5237.0694,100
"42359-53663",196,100
"8-43060-32-SP",137.35,100
"2930-600-20_z01",556.944,100
"4-301505-10-110",253.95399999999998,100
"304536-08",52.562,100
"18094-10",106.764,100
"18096-10",169.08399999999997,100
"3680-200-32-24",258.71,100
"38151-28",2858,100
"34025-02",48,100
"2223-18_z01",174.8486,100
"27452-25",48.626,100
"2040-35_z01",159,100
"22812-2",870.1101999999998,100
"4-304110-03",2388,100
"28127-H7",337.1102,100
"421575",191,100
"28756-15.8-26",293.478,100
"309050-36-300",152.93,0
"18096-20",186.38600000000002,100
"18205-H5",728,100
SV-57583-10,130,100
SV-57583-15,163,100
SV-57583-30,245,100
SV-57587-10,130,100
SV-57587-30,245,100
SV-57591-10,130,100
SV-57591-15,163,100
SV-57595-2-18,327,100
SV-57595-2-30,409,100
SV-57605-10,130,100
SV-57605-36,514.0334,100
"35144-125",559.814,100
"69999",46,100
"4-301066-08-050",8.692,100
"4-301066-10-100",9.266,100
"2916-H8",297.29920000000004,100
"901-21423-300-12",89.7818,100
"901-22424-200-13",103.0248,100
"901-22424-200-14",103.0248,100
"901-22424-300-14",146.1978,100
"901-22424-H8",269.8292,100
"11260-S",110,100
"12260-50-25",45.838,100
"12262-50-25",142.4832,100
"06567-S-1.7",307.3114,100
МБ2-300 Н,10897,0
"55083-50",1590,100
SV-54927,26.518800000000002,0
SV-54935,26,100
"51048-3/4",273.3388,100
"51074-S/S-3/4",158.5388,100
"51083-3/4-1/2",96.2106,100
"51084-1-3/4",120.26939999999999,100
"1221-38-10",59.285999999999994,100
"51002-080",126.7146,100
"51002-150",192.54420000000002,100
"39640",266,100
"3005-40",2241,100
"22375-30",319,100
"27721-125",131.5772,100
"36655-200",283.802,0
"901-11431-038-1.2-K2",6.937200000000001,100
"901-11431-053-2.2-K2",10.2992,100
"901-11431-086-5.3",18.4582,100
"901-11431-093-5.4",18.4582,100
SV-54100-DM,38,100
SV-54110-GM,39,100
SV-54130-SM,36,100
SV-54134-N,45,0
SV-54134-A,45,100
"4-29625-080-4.7-K2",48.79,100
"27085-08",28.044,100
SV-54131-SM,41,0
SV-54131-A,45,100
SV-54134-DM,40,100
SV-54135-SM,42,100
SV-54138-A,45,100
SV-54142-SM,135,100
SV-54142-N,139,100
"902-2323-089",242.35920000000002,100
"1009-30-10",100,100
"4-308050-70-050",3382.1883999999995,100
"4-308050-70-070",4444.523,100
"25096-0-10",24.477000000000004,0
"2930-310-10_z01",128.41199999999998,100
"28711-25.4",277.078,100
"421564",50,100
"8-43060-38-SP",160.1706,100
"4-300310-63-130",2213,100
"4-300310-63-150",2572,100
"4-300310-48-035-3005",2618,100
"4-300310-48-035-6002",2587.3296,100
"4-300310-48-029-6005",3421,100
"4-300310-48-035-8028",2331.5306,100
"4-303686-10",12.3902,100
"4-303856-20",14.2106,100
SV-56973,27.986600000000003,100
SV-55419-05,236.29940000000002,100
"43323-110",984,100
"35503-50-200",1541,100
"909-12111-150",123.984,100
"27452-40",60.434000000000005,100
"01817-14",159.99020000000002,100
ЗШ-1500,7601,0
"55417-05",236.3896,0
SV-57905,237,100
"37866-87-94",41.16400000000001,100
"4-51327-C-3/4",695.688,100
ЗПД-1300,3140,100
"22211-1-160",290.69,100
SV-59016-2C,63.79599999999999,100
SV-54430-SM,42,100
SV-54431-SM,45,100
SV-54437-W,45,100
SV-54445-SM,1,100
SV-54461-B,0,100
"3681-140-20-20",178.51399999999998,100
"3681-200-30-36",289.62399999999997,100
"36903-165-20-30",430.008,100
"36903-235-30-36",665.594,100
"36905-190-20-48",638.452,100
"36907-180-30-60",718.484,100
"3547-100-03",57.687,100
"06463",260.50579999999997,100
"4-28004-08-1.25",64,100
"33203-16-4",111.3724,100
"29531-038_z01",280.604,100
"29531-057_z01",399.996,100
"29531-060_z01",422.71,100
"29531-073_z01",510,100
"29531-095_z01",666.4959999999999,100
"29531-H6-2",2630.232,100
"29533_z01",114.39,100
"34480-25_z01",733,100
"35441-080",84.05,100
"35441-100",83.31199999999998,100
"35441-180",83.31199999999998,100
"35443-060",135.95600000000002,100
"43087-2",7759.020399999999,100
"43087-5",13966.4204,100
"905-3634-80-400",431.73,100
"4-308050-64-050",3631.2142000000003,100
"2948-450-32",778,100
"2948-450-35",856.1619999999999,100
"4-309017-25-100",20.827999999999996,100
"4-309017-36-150",46.248000000000005,100
"4-309017-36-200",59.778,100
"4-309017-48-300",58.63,100
"909-12131-150",133.988,100
"11282-XL",190,100
"38155-21",2609,100
"34722-150",2173,100
"23430-60",4733.2204,100
"23430-60-S",670.4648,100
"23711-6-18",210.30540000000002,100
SV-58053,359.857,100
"06505",1757.3256,100
"06506",1207.163,100
"06508",785.9372,100
"06458-H5",2241.2486000000004,100
"51075-G/G-1/2",131.2082,100
"51086-3/4-1/2",49,100
"901-11431-109-6.8",29.7742,100
"2202-H6",893,100
"4-304030-03",3760,100
"51350-N-1/2",228.14860000000002,100
"29191",136,0
"29111-120-08",35.2272,100
"29111-150-06",33.7512,100
"29140-085-05_z01",38.851600000000005,100
"29140-120-10_z01",84.2878,100
"29140-150-08_z01",80.9504,100
"29140-200-12_z01",111.85619999999999,100
"303080-08-030",670,100
"303080-10-025",719,100
"0802",211.806,100
"0801-08",163.262,100
"3303-40",675.2208,100
"3320-22",86.5592,100
"0812-12-34",249.1898,100
"303080-10-100",699,100
"303080-12-025",457,100
"0830-16",135.3902,100
"303080-12-070",614,100
"40320-02_z01",57,100
"303080-06-040",719,100
"303080-08-035",670,100
"41150",249,100
"38800-04",921,100
"4-300031-48-090",240,100
"4-300191-42-051",141,100
"4-300371-35-045",169.80560000000003,0
"4-300391-40-025",153,100
"4-300031-35-045",167,100
"4-300031-35-025",258,100
"4-300011-48-100",243,100
"4-300051-39-025",255,100
"4-300191-42-016",251,100
"4-300231-39-022",336.9954,100
"4-300371-30-040",135.7592,100
"4-300371-35-025",218,100
"4-300371-40-045",160.30180000000001,100
"4-300371-40-050",165.27920000000003,100
"36661-180",513.73,100
"303080-10-060",699,100
"303080-12-020",539,100
"0840-10",66.0592,100
"0830-18",158.6208,100
"1120-XL",52,100
"1130-XL",180.04739999999998,100
"303080-16-100",561,100
"303080-16-120",561,100
"303550-12",709,100
"303550-14",1029,100
"305010-20-050",424,100
"305010-35-090",377,100
"0605-29-27",37.966,100
"0182-15",179.4898,100
"305310-20-060",492,100
"2002-08",278.226,100
"20192",446,100
"20145-600_z01",816.802,100
"421845",353,100
"2072-20",471,100
"2922-110-10",50.8236,100
"2922-200-10",64.7554,100
"2922-200-08",52.9884,100
"2922-300-10",75.358,100
"2922-300-12",96.1532,100
"3063-37-30",24.927999999999997,100
"3632-180-2,5",37.474000000000004,100
"39120",50.43,100
"55407-25",190,100
"55407-40",220,100
"55407-80",280,100
"34908",9625,100
"34645-2",8019,100
"34645-3",8470,100
"300031-35-025",170,100
"300031-35-045",127,100
"300031-42-076",118,100
"300031-48-090",177,100
"0501-16",25.092000000000002,100
"0665",110,100
"0666",138,100
"3107",286,100
"3395-B",116.1038,100
"37617-120-28",91,100
"309070-25-100",30.3974,100
"59330-300-2.5",521,0
"426351",13,100
"27018-08-10",22.877999999999997,100
"0501-05",14.022,100
"1245-100-50",1006.058,100
"27089-22",83.31199999999998,100
"27079-16",103.484,100
"1009-15-06",58.794000000000004,100
"27079-H10",779,100
"3581-125-080",70.848,100
"2330-020",179.82600000000002,100
"3120-48-12",48.626,100
"1003-120",52.152,100
"0682-H6",41.4592,100
"28757-50.8-4",493.96799999999996,100
"28757-50.8-6",588.186,100
"28757-50.8-6-12",588.186,100
"28758-38.1-12",390.894,100
"16705-20",73.52940000000001,100
"43521",2207.2924000000003,100
AWP,58,100
"51007-G/G-075-150",546.6694,100
"36653-110",81,100
"36655-180",154,0
"06631",176,100
"20351",163,100
"20352",163,100
"909-12131-115",79,100
"909-12151-115",85.19800000000001,100
"909-12151-180",180.81,100
"3681-160-16-24",203.19600000000003,100
"3681-180-30-30",236.898,100
"3681-250-30-40",431.156,100
"3682-200-32-48",293.888,100
"36901-180-30-24",414.51,100
"36903-200-32-36",565.39,100
"36905-150-20-36",253.04379999999998,100
"36905-200-32-48",673.7940000000001,100
"36905-210-30-48",687,100
"36905-250-30-60",964.156,100
SV-55323-250,956.6694,100
"2-06821-W-S06",68.33059999999999,100
"2-08163-10",246.0902,100
"2-110435",217,100
"2-110457",144,100
"55332",1240.0204,100
"27265-37",2232,100
"03913-24",227.3204,100
"10049-04_z03",76.01400000000001,100
"10049-12_z03",124.14800000000001,100
"10049-15_z03",205.65600000000003,100
"10049-60_z03",441.48799999999994,100
"4-300031-42-070",153,100
"4-300377-30-020",25.6906,100
"4-300377-50-025",27.2404,100
"4-300377-50-045",27.6996,100
"4-300377-60-045",26.9698,100
"4-300377-60-160",21.5004,100
"4-300397-40-050",29.8808,100
"4-300397-40-070",26.1498,100
"4-300397-50-060",29.3396,100
"4-300397-60-070",27.7898,100
"4-300397-60-080",27.3306,100
"32470-150",2829,100
"4-300056-39-030",9.184,100
"4-300057-39-019",23.534000000000002,100
SV-49061-20-C,113.119,100
SV-49061-32-C,119.24439999999998,100
SV-49061-40-C,125.3698,100
SV-49063-10-C,435.14119999999997,100
SV-49063-20-C,435.14119999999997,100
SV-49063-32-C,435.14119999999997,100
SV-49071-40-C,129.0106,100
SV-49073-10-C,413,100
SV-49073-20-C,413,100
SV-49073-40-C,413,100
"4-303076-08-016",18.4992,100
"4-303076-10-045",29,100
"11205-L",471.9592,100
"11210-XL",130,100
"11255-S",130,100
"11260-M",135,100
"11269-XХL",130,100
"36650-110",81,100
"36652-105",72,100
"36654-105",56,100
"36654-110",65,100
"901-11431-040-1.4-K2",6.937200000000001,100
"901-11431-043-1.6-K2",8.560799999999999,100
"901-11431-043-1.7-K2",8.560799999999999,100
"51072-S/S-3/4",142.13060000000002,100
"51085-1/2-3/8",32,100
"51085-3/4-1/2",36,100
"51098-S-1/2",34.9812,100
"51350-N-1",565.2834,100
"51350-N-3/2",1254.0834,100
"06487-H5",1757.3256,100
"29360-H13",2061.5456,100
"159953-3",134.89,100
"29314-H4-2",210.658,100
"12255-210-15",175.9064,100
"4-303076-12-040",29.790599999999998,100
"4-303076-12-055",35.8996,100
"36905-235-30-48",775.638,100
"36905-300-50-60",1170.632,100
"36907-185-20-60",720.37,100
"55417-15",316.274,0
SV-57945,319,100
ЗРЛ-82,123,100
"22211-1-120",149,100
"35104-065",133.742,100
"28122-H16",1044.5898000000002,100
"29184-08",58.9334,0
"4-305316-18-035",13.283999999999999,100
"4-305316-30-070",10.742,100
"0315-24",112.50399999999999,100
"3075-04",30.914,100
"4-300392-50-030",312.5102,100
"4-302232-10-112",589.8178,100
"4-300030-35-030",2958,100
"4-300032-35-050",318,100
"4-300036-48-095",9.4792,100
"4-300390-30-030",2355,100
"4-300390-50-040",3554,0
"4-300390-60-080",2156,100
"4-301411-08-090",178.5796,100
"4-305011-12-025",114.964,100
"4-305031-30-080",118,100
"4-31315-40-06-1000",2432,100
"907-21102-060-50",199.8832,100
"4-305036-30-070",12.218,100
"20370-H7",7371,0
"20354",163,100
SV-54166-SM,0,100
"4-29626-125-9",216.00440000000003,100
"0806-04",236.73399999999998,100
"36907-230-30-60",873.9559999999999,100
"40442-19",136,100
"51097-S-3/4",83.0906,100
"3612-230-3,0",55,100
SV-54145-DM,4.018,100
SV-54146-SM,23.124000000000002,100
SV-54147-GM,23.124000000000002,100
SV-54147-N,23.124000000000002,100
SV-54148-A,26.977999999999998,100
SV-54323-W,97,100
SV-54431-B,45,100
SV-54442-B,146,100
"901-11539-038-1.2-K2",8.0278,100
"901-11539-043-1.7-K2",10.2008,100
"901-11539-046-1.8-K2",10.2008,100
"901-11539-053-2.2-K2",13.087200000000001,100
"907-21111-080-10",36.202999999999996,100
"907-21111-120-10",33.333,100
"907-56006-180-03",112.29899999999999,100
SV-57595-2-36,491,100
"907-47004-100-05",102.7624,100
SV-57587-18,212,100
SV-57591-18,212,100
"907-21004-180-10",45.7314,100
"907-21101-060-50",149.4286,100
"907-21101-080-10",26.666400000000003,100
"907-21101-100-50",113.3158,100
"907-21102-320-10",32.406400000000005,100
"4-31311-40-16-0500",697,100
"907-21111-180-10",33.333,100
"907-21112-320-50",236.078,100
"907-22101-080-50",136.09539999999998,100
"907-22102-120-10",38.047999999999995,100
"907-22102-320-50",171.36360000000002,100
"907-22111-080-10",69.4376,100
"907-23104-080-10",58.04780000000001,100
"907-32111-320-05",22.8698,100
"907-34111-320-05",26.666400000000003,100
"907-43113-320-05",36.202999999999996,100
"907-44113-180-05",45.7314,100
"23055-S",258.3902,100
"4-300190-42-051",2487,100
"4-300210-42-051",2655,100
"35112-1",52,100
"2910-075-04_z01",45.132799999999996,100
"2910-120-08_z01",107.9284,100
"2910-300-10_z01",367.9504,100
"421879",71,100
U351-800-068,209.5838,100
"28121-H12",908.1992,100
"28125-H6",366.2694,100
"28126-H7",555.4106,100
SV-49095-16,94,100
"23280-045",1435,100
"20371-H6",5699,100
"29314-800-10",376.052,0
"29314-600-20",603.766,100
"29314-H7",330.95200000000006,100
"8-427615",315,100
"27016-32",100.696,100
"31645-16",23,100
"31758-28-09",135.3902,100
"4-01003-020",11.6604,100
"20364",163,100
"29314-1000-16",876,100
"29314-1000-22",1078,100
"29314-800-25",1143,100
"901-22424-150-07",39.2452,100
"901-22424-H4",142.27,100
"18094-06",103.23800000000001,100
"2-15081-50",327,100
"2-15089",276,100
"39300-05",106,100
"2-05435-18",65.518,100
"2-05438-18",102.00800000000001,100
"4-51321-C-1/2",335.216,100
"4-51322-C-3/4",506.268,100
"4-51530-PA-1/2",324.0312,100
"1-34752-H4",4782.3794,0
"2916-300-12",140.3102,100
"3075-05",30.914,100
"300370-45-040",1857,0
"1518-50",135,100
"15004-50_z01",586,0
"45050-04-07",34.2596,100
"4-39583-14",253,100
"4511-09",43.189400000000006,100
OL-CK-2,342.268,100
"35143-125",178.35,100
"32236",1086,100
"4-300397-40-045",28.9706,100
"4-300397-50-020",26.6008,100
"4-300397-50-035",28.0604,100
"4-300397-60-050",26.3302,100
"4-300056-39-019",9.101999999999999,100
"4-300057-39-045",24.107999999999997,100
"39828-6",835,100
"57131-20",319,100
"57135-30",1189,100
УШМ-П125-850,2419,100
"4-39451",386,100
"4-51320-C-2",2382,100
"4-51533-PA-1/2",324.0312,100
"4-51720-C-1/2",338,100
"35145-100",75.52199999999999,100
"34928",815,100
"4248-55237C",170,100
"4248-55248B",104,100
"4253-55/314C",207,100
"4262-55/583C",181.384,100
"01802-10",50.8236,100
"2-06352-40",236.8898,100
"51003-060",113.34859999999999,100
"2580-05-100 G",23,100
"2916-150-14",142.5652,100
"2916-200-06",84.77159999999999,100
"34767",8191,100
"2009-6",2656,100
"2-45303",168,100
"4-300050-39-019",4649,100
"4-300050-39-025",3004,100
"4-300130-38-11",8352,100
"4-300230-39-013",3910.4898000000003,100
"4-300230-39-019",4272,100
"4-300016-38-065",8.560799999999999,100
"0181-18",265.8932,0
"2-06411-050",61.3196,100
"39817-8",476,0
"90109-40",146.66,100
"2-34163-15",361.4396,100
"2-38032",810,100
УШМ-П150-1400 В,3681,100
"426363",31,100
"426369",37,100
"42359-54201W",278,100
"25822-1-150 G",28,100
"4-300396-45-045",10.413999999999998,100
"4-300032-35-025",470,100
"4-300032-35-035",392,100
"4-300032-35-055",313,100
"4-308016-08-35",12.053999999999998,100
"1-15025-30",289.4518,0
SV-55013-15,537.5592,100
"1-23290-060",3464,100
"4205-53512",102,100
"28772-41.3-H2",1840,100
"28799-9.5",72.46340000000001,100
"28795-H5",767.11,100
"28700-28.6",301.104,100
"4-300396-50-030",10.988,100
"4-300396-50-060",11.316,100
"4-300396-50-070",10.823999999999998,100
"4-300456-10-070",20.91,100
"25828-1-080 G",40,100
"1-34733-010",647,100
"01081-25",17.4004,100
SV-54102-B,56,100
МКТ-150,14054,100
"30971-79-200",240,0
SV-55040-2,209.4854,100
SV-55043-2,259.1364,100
"4205-53519",184,100
"4205-53527",97,100
"4216-53/355",663,100
"4218-53386A",2013,100
"4230-53857",378,100
"4244-55112B",132,100
"4244-55118B",190,100
"4244-55122B",245,100
"12240-75-200",122,100
"26124-3-50-10",174.414,100
"311206",33.21,100
"3303-33",616.8204000000001,100
"0812-14-23",169.1004,100
"0812-10-40",233.15059999999997,100
"0812-14-28",181.58079999999998,100
"0812-18-32",233.15059999999997,100
"303080-10-070",699,100
"303080-10-080",699,100
"1131-XL",149.1416,100
"303080-12-045",539,100
"3572-15",53.1196,100
"303080-16-060",561,100
"303550-10",732,100
"305010-25-050",388,100
"3380-2",21.812,100
"4248-55238C",65,100
"4255-55/437C",790,100
SV-54903,7.6752,100
"51037-S/S-3/4",174.93060000000003,100
"51045-3/4-1/2-T3",327.9918,100
"15981-H10-3",345,100
"11105-H10",35,0
"11110-H10",635.0408,0
"12255-140-15",116.3908,100
"12257-15-12",306.0076,100
"27952-27",259.5136,100
"27965-250",528.6048,100
"36563-125-60",44,100
"4260-55/666C",361,100
"4260-55727",107,100
"51037-S/S-1/2",142.13060000000002,100
"51045-3/4-1/2-T4",415.4612,100
"4-300056-39-045",9.348,100
"4-300406-35-025",5,100
"4-300407-50-050",18.7698,100
"4-300486-75-072",15.3094,100
"4-300486-75-202",21.4102,100
"4-302076-16-063",45.452600000000004,100
"4-302236-10-092",42.385799999999996,100
"4-20017-06",188.2146,100
"37645-85L",62.894000000000005,100
"37730-65",20.746,100
"37751-50",30.75,100
SV-57113-W,523,100
"34605-150",277,100
"34588-060",174.5698,100
"34588-120",283.9168,100
"3459",113,100
"11260-XL",135,100
"12262-50-10",67.4942,100
"3681-150-20-24",192.04399999999998,100
"3681-185-20-30",239.768,100
"3681-200-32-36",289.54200000000003,100
"3682-165-20-40",226.73,100
"3682-190-30-48",275.848,100
"36901-140-20-16",271.584,100
"36901-185-20-24",397.20799999999997,100
"36901-190-16-24",434.436,100
"36903-180-20-36",520.4540000000001,100
"36903-180-30-36",520.4540000000001,100
"36903-185-16-36",520.4540000000001,100
"36903-300-30-48",1057.2259999999999,100
"4-309037-48-300",58.63,100
"4-309037-48-400",87.65800000000002,100
"51350-N-2",1987.9260000000002,100
"51351-N-1",565.2834,100
"20155-400_z01",306.27,100
"2015-05_z01",216.31600000000003,100
"29531-064_z01",441.73400000000004,100
"29531-076_z01",529.6379999999999,100
"29531-105_z01",731.6859999999999,100
"29531-152_z01",1051.65,100
"34480-125_z01",1599,100
"34480-75_z01",1225,100
"34482-25_z01",3275,100
"4-305011-30-080",98.236,100
"4-305031-18-050",106.846,100
"4-305091-30-030",167.93600000000004,100
"4-305091-30-040",171.79,100
"4-305096-40-120",10.742,100
"4-305141-25-050",95,100
"4-305141-31-070",100,100
"4-305201-42-090",89,100
"4-305206-42-090",8.528,100
"4-305211-20-020",156.046,100
"4-305016-40-120",16.974,100
"4-31311-32-12-1000",751.4972,100
"4-31311-40-06-1000",1091,100
"29421-060-03",28.372000000000003,100
"4-300391-30-015",270,100
"4-300391-40-045",119,100
"4-300391-60-050",226,100
"3-27079-22",106,100
"4-300032-42-070",289,100
"4-300052-39-019",365,100
"4-300190-42-041",2826,100
"4-31313-40-16-0500",533.3772,100
"4-06875",532,100
"62161-200",3.3374,0
"62251-10",2,0
"62251-25",3.7391999999999994,0
"4-300310-48-050",2073,100
"4-300310-48-070",1712,100
"4-300310-55-050",2158,100
"4-300310-63-070",2101,100
"4-300310-63-090",2199,100
"4-300310-48-035-5005",2618,100
"4-300310-48-029-6002",3381.475,100
"4-300310-48-050-6002",2010.9433999999999,100
SV-49021-25-C,163,100
SV-49023-40-C,695,100
SV-49033-25-C,610,100
SV-49051-32-B,119.24439999999998,100
SV-49053-25-B,435.14119999999997,100
"4-51991-050",26,100
SV-57589-10,130,100
"4-300013-48-150",277,100
"10031",59.45,100
"110802",83,100
"11084",83,100
"4-300482-75-112",889,100
"4-302476-04-032",20.418,100
"4-302476-08-080",26.4942,100
"4-305036-20-050",14.432,100
"4-01052-038",32.7754,100
"4-301505-10-120",1208.1306,100
"3660-110",64,100
"4-29625-093-5.7",28.913199999999996,100
"29421-115-09",49.282,100
"3547-120-03",57.687,100
"909-12111-180",173.18399999999997,100
"11282-XXL",190,100
"51047-1/2-16",103.8612,100
"29140-H4",195.2584,100
"38051-11",243,100
"3360_z01",141,100
"0673-S4_z01",44,100
"4-301505-10-160",1215.4204,100
"4-308256-2",16.154,100
"4-308256-5",16.154,100
"4-309146-19-25",11.07,100
"44210",19.0896,100
SV-49011-32-B,145,100
SV-49013-16-B,500.7493999999999,100
SV-49031-20-C,176,100
SV-49031-25-C,193,100
SV-49033-32-C,631.9412,100
"01501-50",80.6306,100
"33811-2",25.584,100
"33813-4",10.823999999999998,100
"901-11431-038-1.3-K2",6.937200000000001,100
"901-11431-080-4.6-K2",26.5352,100
"901-11431-086-4.9-K2",26.5434,100
"4-29621-093-5.7",41.4182,100
"8-36701-110",40.836,100
"8-36703-110",32.964,100
"4-29625-030-0.8-K2",5.6743999999999994,0
"4-01003-038",21.5004,100
"4-01003-063",41.549400000000006,100
"2233-18_z01",185.1478,100
"31503_z01",784.4038,0
"4-303156-03-016",12.7592,100
"4-303156-04-016",18.753400000000003,100
"4-303156-06-060",15.8506,100
"4-303436-05-030",26.7894,100
"4-303436-05-035",25,100
"4-303436-05-040",25.3298,100
"4-303436-06-016",38.786,100
"4-29625-133-10.2",197.7184,100
"4-29626-109-7",128.1332,0
"4-29626-151-12.5",469.4418,100
AWC,58,100
"1217-38-10",77.3588,100
"29505-12",61.254000000000005,100
"29505-25",76.178,100
"08145",120.95,100
SV-54142-DM,135,100
SV-54146-GM,23.124000000000002,100
SV-54147-A,23.124000000000002,100
"02541-18",72.488,100
"4-309037-48-350",73.144,100
"909-12111-105",61.418,100
